id,name,external_id,external_id_type,entity_type,place_id,province_id,autonomous_region_id,dir3,ute_id,administration_level,parent_id,nifs,custom_place_id,is_contractor,is_assignee,slug,address,postal_code,country_name,country_code,place_name,import_pending
219371,Junta Vecinal de Lamadrid ,,,2,39091,39,6,L04390208,,,,{P3900233B},,t,f,juntavecinaldelamadrid,"Lamadrid, s/n",39593,España,ES,Valdáliga,f
32273,Junta Vecinal de la EATIM de San Gil,,,,10903,10,11,L04100009,,,,{P6015101F},,t,f,juntavecinaldelaeatimdesangil,Trav. Sta. Cristina s/n,10690,España,ES,Alagón del Río,f
47859,Junta Vecinal de Ferral de Bernesga,,,,24189,24,7,L04240313,,,,{P2400189C},,t,f,juntavecinaldeferraldebernesga,Rosario,24282,España,ES,Valverde de la Virgen,f
52486,Junta Vecinal de la Entidad Local Menor de Navalcaballo,,,,42149,42,7,L04420055,,,,{P4220800I},,t,f,juntavecinaldelaentidadlocalmenordenavalcaballo,Calle Plaza Mayor s/n,42290,España,ES,"Rábanos, Los",f
79167,Junta Vecinal de Citores del Páramo,,,,9363,9,7,L04090125,,,,{P0900067J},,t,f,juntavecinaldecitoresdelpramo,"Plaza Mayor, 1",9123,España,ES,Sasamón,f
227334,Junta Vecinal de Caviedes,,,,39091,39,6,L04390120,,,,{P3900235G},,t,f,juntavecinaldecaviedes,Caviedes s/n,39593,España,ES,Valdáliga,f
14997,Junta Vecinal Amaya (Ayuntamiento de Sotresgudo),,,4,9373,9,7,L04090015,,,,{P0900021G},,t,f,juntavecinalamayaayuntamientodesotresgudo,,,,,,f
228085,Junta Vecinal de Roiz,,,,39091,39,6,L04390365,,,,{P3900232D},,t,f,juntavecinalderoiz,Lamadrid s/n,39593,España,ES,Valdáliga,f
232685,Junta Vecinal de la Entidad Local Menor de Valdesalor,,,,10037,10,11,L04100003,,,,{P1000005G},,t,f,juntavecinaldelaentidadlocalmenordevaldesalor,"Plaza de España, 1",10164,España,ES,Cáceres,f
239581,junta Vecinal de Saravillo,,,,22227,22,2,L04220036,,,,{P2200006A},,t,f,juntavecinaldesaravillo,"Plaza Mayor, 1",22366,España,ES,Tella-Sin,f
103512,Junta Vecinal de la Entidad Local Autónoma de Ventas de Zafarraya,,,,,,,L04180008,,,,{P1800041D},,t,f,juntavecinaldelaentidadlocalautnomadeventasdezafarraya,"Plaza Sto. Domingo de Guzmán, 1",18125,España,ES,,f
15563,Junta Vecinal de Castrocontrigo,,,,24047,24,7,L04240212,,,,{P2400188E},,t,f,juntavecinaldecastrocontrigo,C/ El Granero nº 3,24735,España,ES,Castrocontrigo,f
20375,Junta Vecinal de la Entidad Local Menor de Gandarilla,,,,39095,39,6,L04390176,,,,{P3900250F},,t,f,juntavecinaldelaentidadlocalmenordegandarilla,Barrio Gandarilla,39549,España,ES,Val de San Vicente,f
213640,Junta Vecinal de Zangández,,,,9238,9,7,L04090650,,,,{P0900468J},,t,f,juntavecinaldezangndez,"Plaza del Ayuntamiento, 1",9530,España,ES,Oña,f
203823,Junta Vecinal de la Entidad Local Menor de Moraleja de Coca,,,,40138,40,7,L04400010,,,,{P4000053A},,t,f,juntavecinaldelaentidadlocalmenordemoralejadecoca,"Plaza Constitución, 1",40461,España,ES,Nava de la Asunción,f
44776,Junta Vecinal de Arroyo de Valdivielso,,,,9238,9,7,L04090035,,,,{P0900244E},,t,f,juntavecinaldearroyodevaldivielso,Arroyo de Valdivielso,9559,España,ES,Oña,f
24979,Junta o Concejo Vecinal de Otañes - Castro Urdiales ,,,,39020,39,6,L04390282,,,,{P3900394B},,t,f,juntaoconcejovecinaldeotaescastrourdiales,"BARRIO DE SAN ROQUE, S/N",39707,España,ES,Castro-Urdiales,f
19171,Presidencia de la Entidad Local Autónoma de Castil de Campos ,,,,14055,14,1,L04140004,,,,{P1400029C},,t,f,presidenciadelaentidadlocalautnomadecastildecampos,"Plaza Nueva, 1",14815,España,ES,Priego de Córdoba,f
28870,Junta General de la Mancomunidad Lea Artibai,,,,48060,48,16,L05480006,,,,{P4800032G},,t,f,juntageneraldelamancomunidadleaartibai,"Xemein Etorbidea, 13",48270,España,ES,Markina-Xemein,f
42444,Junta Vecinal de la Entidad Local Menor de Campillo de Salvatierra,,,,37156,37,7,L04370020,,,,{P3700015E},,t,f,juntavecinaldelaentidadlocalmenordecampillodesalvatierra,Pza del Reloj 1,37778,España,ES,Guijuelo,f
